,Наименование,Магазин № 3,Магазин № 4,Магазин № 5,Магазин № 6,Магазин № 7,Магазин № 8,Магазин № 9
188,"Орунгамин, 100 мг, капсулы, 14 шт.",,,,,1120.0,,
189,"Эльцет, 5 мг, таблетки, покрытые пленочной оболочкой, 14 шт.",466.0,,,,,,
190,"Микодерил, 1%, крем для наружного применения, от грибка ногтей, 30 г, 1 шт.",,,908.0,,,,
191,"Редерм, мазь для наружного применения, 15 г, 1 шт.",,228.0,380.0,,310.0,,310.0
192,"Синафлан, 0.025%, линимент, 15 г, 1 шт.",,,,,,,
193,"Тербинафин, 1%, крем для наружного применения, 15 г, 1 шт.",,,,,235.0,,
194,"Гальманин, порошок для наружного применения, 2 г, 10 шт.",106.0,,,,,,
195,"Никсар, 20 мг, таблетки, 30 шт.",1648.0,,,,,,
196,"Флуконазол Сандоз, 150 мг, капсулы, 1 шт.",166.0,,,,,,
197,"Пирантел, 250 мг/5 мл, суспензия для перорального применения, 15 мл, 1 шт.",55.0,,,,,62.0,55.0
198,"Цинковая мазь, 10%, мазь для наружного применения, 30 г, 1 шт.",,118.0,,,,,
199,"Канизон плюс, крем для наружного применения, 15 г, 1 шт.",,720.0,,625.0,,,
200,"Клотримазол-Акос, 1%, мазь для наружного применения, 20 г, 1 шт.",235.0,212.0,,,,,
201,"Чистотела трава, сырье растительное измельченное, 20 шт.",,,,,,,
202,"Цинковая мазь, 10%, мазь для наружного применения, 25 г, 1 шт.",,,,56.0,,,
203,"Меновазин, раствор для наружного применения спиртовой, с насадкой-распылителем, 50 мл, 1 шт.",,,,,116.0,,
204,"Акридерм, 0.05%, крем для наружного применения, 15 г, 1 шт.",83.0,83.0,83.0,83.0,,83.0,83.0
205,"Бензилбензоат, 20%, мазь для наружного применения, 30 г, 1 шт.",,,,,,24.0,
206,"Эльцет, 5 мг, таблетки, покрытые пленочной оболочкой, 7 шт.",269.0,,,,,,
207,"Синафлан, 0.025%, мазь для наружного применения, 15 г, 1 шт.",,,,,,,
208,"Клотримазол, 1%, крем для наружного применения, 20 г, 1 шт.",255.0,,,,,,
209,"Кальция хлорид, 100 мг/мл, раствор для внутривенного введения, 10 мл, 10 шт.",,,,,,,
210,"Клотримазол, 1%, мазь для наружного применения, 15 г, 1 шт.",,90.0,,,,,
211,"Зодак, 10 мг/мл, капли для приема внутрь, 20 мл, 1 шт.",196.0,198.0,198.0,,198.0,198.0,211.0
212,"Зиртек, 10 мг/мл, капли для приема внутрь, 20 мл, 1 шт.",200.0,213.0,202.0,202.0,204.0,208.0,
213,"Ацикловир-Акрихин, 5%, мазь для наружного применения, 10 г, 1 шт.",,76.0,,76.0,,76.0,76.0
214,"Салицилово-цинковая паста, паста для наружного применения, 25 г, 1 шт.",,,53.0,,,,53.0
215,"Дифлюкан, 150 мг, капсулы, 1 шт.",,178.0,,,,178.0,
216,"Диазолин, 50 мг, драже, 10 шт.",,46.0,48.0,,,,
217,"Супрастин (для инъекций), 20 мг/мл, раствор для внутривенного и внутримышечного введения, 1 мл, 5 шт.",157.0,156.0,152.0,172.0,,,154.0
218,"Офломикол, 2%, раствор для наружного применения, 15 мл, 1 шт.",,877.0,915.0,922.0,867.0,,921.0
219,"Клотримазол-Акрихин, 1%, раствор для наружного применения, 15 мл, 1 шт.",,,455.0,455.0,,455.0,455.0
220,"Офломикол, 2%, крем для наружного применения, 20 г, 1 шт.",,915.0,867.0,877.0,,,877.0
221,"Диазолин, 100 мг, драже, 10 шт.",,,59.0,60.0,,,
222,"Лоратадин-Акрихин, 10 мг, таблетки, 10 шт.",,133.0,134.0,,134.0,,
223,"Дезал, 5 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",,479.0,,,511.0,,
224,"Лактофильтрум, таблетки, сорбент + пребиотик, 60 шт.",,553.0,,,,,
225,"Адвантан, 0.1%, крем для наружного применения, 15 г, 1 шт.",,921.0,835.0,829.0,,,
226,"Троксевазин, 2%, гель для наружного применения, 100 г, 1 шт.",,,,805.0,,820.0,
227,"Тридерм, 0.05%+0.1%+1%, крем для наружного применения, 15 г, 1 шт.",,,1306.0,1276.0,,,
228,"Кандид, 1%, раствор для наружного применения, 20 мл, 1 шт.",,477.0,464.0,,,470.0,488.0
229,"Момейд, 0.1%, крем для наружного применения, 15 г, 1 шт.",,,100.0,,100.0,,97.0
230,"Скин-кап, 0.2%, аэрозоль для наружного применения, 35 г, 1 шт.",3354.0,3364.0,3668.0,3364.0,3674.0,2614.0,3364.0
231,"Псило-бальзам, гель для наружного применения, 20 г, 1 шт.",,471.0,,438.0,,,
232,"Ирунин, 100 мг, капсулы, 14 шт.",1531.0,1512.0,,,1527.0,,
233,"Зовиракс Дуо-Актив, 5% + 1%, крем для наружного применения, 2 г, 1 шт.",677.0,675.0,,,677.0,,
234,"Ирунин, 100 мг, капсулы, 28 шт.",,2465.0,3182.0,,,,
235,"Диметинден-Акрихин, 0.1%, гель для наружного применения, 30 г, 1 шт.",,,439.0,,,,
236,"Адвантан, 0.1%, эмульсия для наружного применения, 20 г, 1 шт.",,811.0,790.0,,754.0,,
237,"Аллервэй Экспресс, 5 мг, таблетки, диспергируемые в полости рта, 10 шт.",,555.0,552.0,,,,
238,"Лоратадин-Эко, 1 мг/мл, сироп, 100 мл, 1 шт.",,,149.0,143.0,,111.0,
239,"Кетотифен Реневал, 1 мг, таблетки, 30 шт.",174.0,,231.0,,,,
240,"Диметинден-Акрихин, 0.1%, гель для наружного применения, 50 г, 1 шт.",,,505.0,,,,
241,"Адвантан, 0.1%, мазь для наружного применения, 15 г, 1 шт.",,,,840.0,,,
242,"Фунгодерил, 1%, раствор для наружного применения, 15 мл, 1 шт.",,640.0,640.0,,,,
243,"Нафтодерил, 1%, раствор для наружного применения, 20 мл, 1 шт.",,,,,254.0,,
244,"Зиртек, 10 мг, таблетки, покрытые пленочной оболочкой, 30 шт.",,,,334.0,,340.0,
245,"Тетрадерм, крем для наружного применения, 30 г, 1 шт.",,1234.0,1344.0,,,,
246,"Нитрофунгин-Тева, 1%, раствор для наружного применения, 25 мл, 1 шт.",,595.0,,,,,
247,"Цинковая мазь, 10%, мазь для наружного применения, 30 г, 1 шт.",82.0,,,,,,
248,"Итразол, 100 мг, капсулы, 42 шт.",,1893.0,,,1809.0,,
249,"Флюкостат, 150 мг, капсулы, противогрибковое средство от молочницы, 2 шт.",335.0,,,,,,
250,"Белосалик лосьон, раствор для наружного применения, с насадкой-распылителем, 100 мл, 1 шт.",,,,,,,1243.0
251,"Ацикловир форте, 400 мг, таблетки, 20 шт.",287.0,264.0,,,,,
252,"Кестин, 20 мг, таблетки, покрытые оболочкой, 10 шт.",691.0,699.0,,693.0,690.0,686.0,875.0
253,"Лоринден A, мазь для наружного применения, 15 г, 1 шт.",,,678.0,,,,638.0
254,"Микозорал, 200 мг, таблетки, 30 шт.",,,,,,,654.0
255,"Ксизал, 5 мг, таблетки, покрытые пленочной оболочкой, 7 шт.",,466.0,497.0,,,,
256,"Цинковая паста, паста для наружного применения, 25 г, 1 шт.",125.0,,,,,,
257,"Дезал, 5 мг, таблетки, покрытые пленочной оболочкой, 30 шт.",776.0,,776.0,,,,
258,"Валвир, 500 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",,,1580.0,,,,
259,"Кестин, 10 мг, таблетки, покрытые пленочной оболочкой, 5 шт.",426.0,,474.0,,,,
260,"Флуконазол Реневал, 50 мг, капсулы, 7 шт.",176.0,,162.0,,,,
261,"Цетиризин Реневал, 10 мг, таблетки, покрытые пленочной оболочкой, 20 шт.",,117.0,194.0,,,,
262,"Кальция хлорид, 100 мг/мл, раствор для внутривенного введения, 10 мл, 10 шт.",,,,,,,
263,"Левоцетиризин-Вертекс, 5 мг, таблетки, покрытые пленочной оболочкой, 30 шт.",,464.0,,,,,
